Time [s],fan_n,fan_p,PTA6,PTA7
0.011906480,1,1,0,1
0.011906482,1,1,1,1
0.011964394,1,1,1,0
0.011964396,1,1,0,0
0.012022432,1,1,1,1
0.012080436,1,1,1,0
0.012080438,1,1,0,0
0.012138460,1,1,0,1
0.012138462,1,1,1,1
0.012196458,1,1,0,0
0.012254494,1,1,0,1
0.012254496,1,1,1,1
0.012312504,1,1,0,0
0.012370528,1,1,0,1
0.012370530,1,1,1,1
0.012428534,1,1,0,0
0.012486590,1,1,0,1
0.012486592,1,1,1,1
0.012544618,1,1,0,0
0.012602666,1,1,1,1
0.012660584,1,1,0,0
0.012718718,1,1,0,1
0.012718720,1,1,1,1
0.012776640,1,1,1,0
0.012776642,1,1,0,0
0.012834762,1,1,0,1
0.012834764,1,1,1,1
0.012892776,1,1,1,0
0.012892778,1,1,0,0
0.012950896,1,1,0,1
0.012950898,1,1,1,1
0.013008810,1,1,1,0
0.013008812,1,1,0,0
0.013066936,1,1,0,1
0.013066938,1,1,1,1
0.013124844,1,1,0,0
0.013182950,1,1,0,1
0.013182952,1,1,1,1
0.013240866,1,1,1,0
0.013240868,1,1,0,0
0.013298980,1,1,1,1
0.013356892,1,1,0,0
0.013414898,1,1,0,1
0.013414900,1,1,1,1
0.013472878,1,1,0,0
0.013530888,1,1,0,1
0.013530890,1,1,1,1
0.013588864,1,1,1,0
0.013588866,1,1,0,0
0.013646980,1,1,1,1
0.013704984,1,1,1,0
0.013704986,1,1,0,0
0.013763008,1,1,0,1
0.013763010,1,1,1,1
0.013820982,1,1,1,0
0.013820984,1,1,0,0
0.013879096,1,1,1,1
0.013937086,1,1,0,0
0.013995100,1,1,0,1
0.013995102,1,1,1,1
0.014053102,1,1,0,0
0.014111226,1,1,0,1
0.014111228,1,1,1,1
0.014169136,1,1,0,0
0.014227260,1,1,0,1
0.014227262,1,1,1,1
0.014285168,1,1,0,0
0.014343288,1,1,0,1
0.014343290,1,1,1,1
0.014401180,1,1,0,0
0.014459280,1,1,0,1
0.014459282,1,1,1,1
0.014517294,1,1,0,0
0.014575316,1,1,0,1
0.014575318,1,1,1,1
0.014633200,1,1,1,0
0.014633202,1,1,0,0
0.014691292,1,1,0,1
0.014691294,1,1,1,1
0.014749290,1,1,0,0
0.014807312,1,1,0,1
0.014807314,1,1,1,1
0.014865206,1,1,0,0
0.014923234,1,1,0,1
0.014923236,1,1,1,1
0.014981234,1,1,1,0
0.014981236,1,1,0,0
0.015039264,1,1,0,1
0.015039266,1,1,1,1
0.015097162,1,1,0,0
0.015155278,1,1,1,1
0.015213300,1,1,0,0
0.015271348,1,1,0,1
0.015271350,1,1,1,1
0.015329356,1,1,0,0
0.015387396,1,1,1,1
0.015445404,1,1,0,0
0.015503442,1,1,0,1
0.015503444,1,1,1,1
0.015561358,1,1,1,0
0.015561360,1,1,0,0
0.015619468,1,1,0,1
0.015619470,1,1,1,1
0.015677382,1,1,1,0
0.015677384,1,1,0,0
0.015735502,1,1,0,1
0.015735504,1,1,1,1
0.015793400,1,1,0,0
0.015851504,1,1,0,1
0.015851506,1,1,1,1
0.015909490,1,1,1,0
0.015909492,1,1,0,0
0.015967604,1,1,1,1
0.016025610,1,1,1,0
0.016025612,1,1,0,0
0.016083740,1,1,0,1
0.016083742,1,1,1,1
0.016141660,1,1,0,0
0.016272764,1,1,0,1
0.016273724,1,1,1,1
0.016292068,1,1,0,1
0.016292338,1,1,0,0
0.020044968,1,1,0,1
0.020044970,1,1,1,1
0.020070192,0,1,1,1
0.020070194,0,0,1,1
0.020070208,0,1,1,1
0.020070230,0,0,1,1
0.020070246,1,0,1,1
0.020070252,0,1,1,1
0.020070262,0,0,1,1
0.020070268,0,1,1,1
0.020070276,1,1,1,1
0.020070278,1,0,1,1
0.020070282,0,0,1,1
0.020070284,0,1,1,1
0.020070290,0,0,1,1
0.020070294,0,1,1,1
0.020070306,1,1,1,1
0.020070308,1,0,1,1
0.020070312,1,1,1,1
0.020070318,0,0,1,1
0.020070320,0,1,1,1
0.020070328,0,0,1,1
0.020070334,1,0,1,1
0.020070336,1,1,1,1
0.020070340,0,1,1,1
0.020070350,1,0,1,1
0.020070358,1,1,1,1
0.020084684,0,1,1,1
0.020095012,1,1,1,1
0.020098068,0,1,1,1
0.020098070,0,0,1,1
0.020098142,0,1,1,1
0.020098148,1,1,1,1
0.020098150,1,0,1,1
0.020098152,0,0,1,1
0.020098156,0,1,1,1
0.020098158,0,0,1,1
0.020098166,0,1,1,1
0.020098178,0,0,1,1
0.020098184,0,1,1,1
0.020098186,0,0,1,1
0.020098192,0,1,1,1
0.020098202,0,0,1,1
0.020098218,0,1,1,1
0.020098226,0,0,1,1
0.020098240,0,1,1,1
0.020098250,0,0,1,1
0.020098264,0,1,1,1
0.020098272,0,0,1,1
0.020098288,0,1,1,1
0.020098296,0,0,1,1
0.020098310,0,1,1,1
0.020098316,0,0,1,1
0.020098330,0,1,1,1
0.020098364,0,0,1,1
0.020098392,1,0,1,1
0.020099200,1,1,1,1
0.020102918,1,1,1,0
0.020102920,1,1,0,0
0.020160998,1,1,0,1
0.020161000,1,1,1,1
0.020164914,0,0,1,1
0.020164920,0,1,1,1
0.020164922,1,1,1,1
0.020164926,0,1,1,1
0.020164932,1,1,1,1
0.020164936,0,1,1,1
0.020164938,1,1,1,1
0.020164944,0,1,1,1
0.020164948,0,0,1,1
0.020164952,1,0,1,1
0.020164958,0,1,1,1
0.020164964,1,1,1,1
0.020164974,0,1,1,1
0.020164978,1,1,1,1
0.020164984,1,0,1,1
0.020164988,0,1,1,1
0.020164994,1,1,1,1
0.020165000,0,1,1,1
0.020165002,1,1,1,1
0.020165012,1,0,1,1
0.020165016,0,1,1,1
0.020165028,1,1,1,1
0.020165044,0,1,1,1
0.020165046,1,1,1,1
0.020165088,0,1,1,1
0.020165096,1,1,1,1
0.020165206,0,1,1,1
0.020165212,1,1,1,1
0.020180860,0,1,1,1
0.020190002,1,1,1,1
0.020192358,0,1,1,1
0.020192956,1,1,1,1
0.020192958,0,1,1,1
0.020192962,0,0,1,1
0.020193016,0,1,1,1
0.020193026,1,0,1,1
0.020193028,0,0,1,1
0.020193042,0,1,1,1
0.020193052,0,0,1,1
0.020193066,0,1,1,1
0.020193076,0,0,1,1
0.020193086,0,1,1,1
0.020193098,0,0,1,1
0.020193110,0,1,1,1
0.020193122,0,0,1,1
0.020193130,0,1,1,1
0.020193144,0,0,1,1
0.020193152,0,1,1,1
0.020193166,0,0,1,1
0.020193172,0,1,1,1
0.020193190,0,0,1,1
0.020193192,0,1,1,1
0.020193262,0,0,1,1
0.020193288,1,0,1,1
0.020194080,1,1,1,1
0.020206892,0,1,1,1
0.020215938,0,0,1,1
0.020217830,0,1,1,1
0.020218956,1,1,1,0
0.020218958,1,1,0,0
0.020218960,0,1,0,0
0.020219088,1,1,0,0
0.020219112,0,1,0,0
0.020219116,0,0,0,0
0.020219146,0,1,0,0
0.020219150,0,0,0,0
0.020219158,1,0,0,0
0.020219162,0,0,0,0
0.020219168,0,1,0,0
0.020219178,0,0,0,0
0.020219182,1,0,0,0
0.020219186,0,0,0,0
0.020219194,0,1,0,0
0.020219200,0,0,0,0
0.020219206,1,0,0,0
0.020219210,0,0,0,0
0.020219216,0,1,0,0
0.020219222,0,0,0,0
0.020219228,1,0,0,0
0.020219232,0,1,0,0
0.020219242,1,0,0,0
0.020219252,0,1,0,0
0.020219258,1,1,0,0
0.020219260,1,0,0,0
0.020219266,1,1,0,0
0.020277008,1,1,0,1
0.020277010,1,1,1,1
0.020280764,0,1,1,1
0.020280766,0,0,1,1
0.020280770,0,1,1,1
0.020280790,1,1,1,1
0.020280796,1,0,1,1
0.020280800,0,1,1,1
0.020280808,0,0,1,1
0.020280810,0,1,1,1
0.020280816,1,1,1,1
0.020280824,1,0,1,1
0.020280826,1,1,1,1
0.020280828,0,1,1,1
0.020280842,1,1,1,1
0.020280862,0,1,1,1
0.020280866,1,1,1,1
0.020280870,0,1,1,1
0.020280872,0,0,1,1
0.020280874,0,1,1,1
0.020280878,1,1,1,1
0.020280894,0,1,1,1
0.020280904,1,1,1,1
0.020280960,0,1,1,1
0.020280966,1,1,1,1
0.020280984,0,1,1,1
0.020280988,1,1,1,1
0.020281054,0,1,1,1
0.020281066,1,1,1,1
0.020296726,0,1,1,1
0.020334954,0,1,0,0
0.020335132,1,1,0,0
0.020335136,0,1,0,0
0.020335162,1,1,0,0
0.020335166,0,1,0,0
0.020335180,1,1,0,0
0.020393022,1,1,0,1
0.020393024,1,1,1,1
0.020399532,0,1,1,1
0.020450976,0,1,0,0
0.020451180,1,1,0,0
0.020451186,0,1,0,0
0.020451198,1,1,0,0
0.020509052,1,1,0,1
0.020509054,1,1,1,1
0.020515330,0,1,1,1
0.020567018,0,1,1,0
0.020567020,0,1,0,0
0.020567226,1,1,0,0
0.020567230,0,1,0,0
0.020567244,1,1,0,0
0.020625024,1,1,0,1
0.020625026,1,1,1,1
0.020631824,0,1,1,1
0.020682876,0,1,1,0
0.020682878,0,1,0,0
0.020683082,1,1,0,0
0.020683086,0,1,0,0
0.020683102,1,1,0,0
0.020740858,1,1,0,1
0.020740860,1,1,1,1
0.020748322,0,1,1,1
0.020798864,0,1,0,0
0.020799068,1,1,0,0
0.020799074,0,1,0,0
0.020799088,1,1,0,0
0.020856990,1,1,0,1
0.020856992,1,1,1,1
0.020864952,0,1,1,1
0.020914894,0,1,1,0
0.020914896,0,1,0,0
0.020915098,1,1,0,0
0.020915104,0,1,0,0
0.020915120,1,1,0,0
0.020972888,1,1,0,1
0.020972890,1,1,1,1
0.020981400,0,1,1,1
0.021030830,0,1,0,0
0.021031034,1,1,0,0
0.021031038,0,1,0,0
0.021031054,1,1,0,0
0.021088874,1,1,0,1
0.021088876,1,1,1,1
0.021097772,0,1,1,1
0.021146844,0,1,1,0
0.021146846,0,1,0,0
0.021147050,1,1,0,0
0.021147054,0,1,0,0
0.021147070,1,1,0,0
0.021204876,1,1,0,1
0.021204878,1,1,1,1
0.021214216,0,1,1,1
0.021262842,0,1,0,0
0.021263018,1,1,0,0
0.021263020,0,1,0,0
0.021263046,1,1,0,0
0.021263050,0,1,0,0
0.021263068,1,1,0,0
0.021320892,1,1,0,1
0.021320894,1,1,1,1
0.021330538,0,1,1,1
0.021378840,0,1,0,0
0.021379016,1,1,0,0
0.021379020,0,1,0,0
0.021379044,1,1,0,0
0.021379050,0,1,0,0
0.021379066,1,1,0,0
0.021436940,1,1,0,1
0.021436942,1,1,1,1
0.021440806,0,1,1,1
0.021440810,0,0,1,1
0.021440814,0,1,1,1
0.021440832,1,1,1,1
0.021440838,1,0,1,1
0.021440842,0,1,1,1
0.021440850,0,0,1,1
0.021440852,0,1,1,1
0.021440858,1,1,1,1
