Time [s],Channel 0
2020-12-22T23:00:46.248664160+00:00,0
2020-12-22T23:00:46.248682240+00:00,1
2020-12-22T23:00:46.248700480+00:00,0
2020-12-22T23:00:46.248736800+00:00,1
2020-12-22T23:00:46.248754880+00:00,0
2020-12-22T23:00:46.248772960+00:00,1
2020-12-22T23:00:46.248791200+00:00,0
2020-12-22T23:00:46.248827360+00:00,1
2020-12-22T23:00:46.248845600+00:00,0
2020-12-22T23:00:46.248863680+00:00,1
2020-12-22T23:00:46.248881760+00:00,0
2020-12-22T23:00:46.248918080+00:00,1
2020-12-22T23:00:46.248936160+00:00,0
2020-12-22T23:00:46.248954400+00:00,1
2020-12-22T23:00:46.248963360+00:00,0
2020-12-22T23:00:46.249008800+00:00,1
2020-12-22T23:00:46.249026880+00:00,0
2020-12-22T23:00:46.249036000+00:00,1
2020-12-22T23:00:46.249044960+00:00,0
2020-12-22T23:00:46.249054080+00:00,1
2020-12-22T23:00:46.249099360+00:00,0
2020-12-22T23:00:46.249108480+00:00,1
2020-12-22T23:00:46.249117440+00:00,0
2020-12-22T23:00:46.249135680+00:00,1
2020-12-22T23:00:46.249144640+00:00,0
2020-12-22T23:00:46.249190080+00:00,1
2020-12-22T23:00:46.249208160+00:00,0
2020-12-22T23:00:46.249217280+00:00,1
2020-12-22T23:00:46.249226240+00:00,0
2020-12-22T23:00:46.249235360+00:00,1
2020-12-22T23:00:46.249280640+00:00,0
2020-12-22T23:00:46.249289760+00:00,1
2020-12-22T23:00:46.249298720+00:00,0
2020-12-22T23:00:46.249307840+00:00,1
2020-12-22T23:00:46.249325920+00:00,0
2020-12-22T23:00:46.249371360+00:00,1
2020-12-22T23:00:46.249389440+00:00,0
2020-12-22T23:00:46.249398560+00:00,1
2020-12-22T23:00:46.249407680+00:00,0
2020-12-22T23:00:46.249462080+00:00,1
2020-12-22T23:00:46.249480160+00:00,0
2020-12-22T23:00:46.249507360+00:00,1
2020-12-22T23:00:46.249552640+00:00,0
2020-12-22T23:00:46.249561760+00:00,1
2020-12-22T23:00:46.249570720+00:00,0
2020-12-22T23:00:46.249579840+00:00,1
2020-12-22T23:00:46.249588960+00:00,0
2020-12-22T23:00:46.249643360+00:00,1
2020-12-22T23:00:46.249661440+00:00,0
2020-12-22T23:00:46.249670400+00:00,1
2020-12-22T23:00:46.249733920+00:00,0
2020-12-22T23:00:46.249743040+00:00,1
2020-12-22T23:00:46.249752000+00:00,0
2020-12-22T23:00:46.249770240+00:00,1
2020-12-22T23:00:46.249788320+00:00,0
2020-12-22T23:00:46.249824640+00:00,1
2020-12-22T23:00:46.249842720+00:00,0
2020-12-22T23:00:46.249860800+00:00,1
2020-12-22T23:00:46.249879040+00:00,0
2020-12-22T23:00:46.249915200+00:00,1
2020-12-22T23:00:46.249933440+00:00,0
2020-12-22T23:00:46.249951520+00:00,1
2020-12-22T23:00:46.249969600+00:00,0
2020-12-22T23:00:46.250005920+00:00,1
2020-12-22T23:00:46.250024000+00:00,0
2020-12-22T23:00:46.250042240+00:00,1
2020-12-22T23:00:46.250051200+00:00,0
2020-12-22T23:00:46.250096640+00:00,1
2020-12-22T23:00:46.250114720+00:00,0
2020-12-22T23:00:46.250123840+00:00,1
2020-12-22T23:00:46.250132800+00:00,0
2020-12-22T23:00:46.250141920+00:00,1
2020-12-22T23:00:46.250187200+00:00,0
2020-12-22T23:00:46.250196320+00:00,1
2020-12-22T23:00:46.250205440+00:00,0
2020-12-22T23:00:46.250223520+00:00,1
2020-12-22T23:00:46.250232640+00:00,0
2020-12-22T23:00:46.250277920+00:00,1
2020-12-22T23:00:46.250296000+00:00,0
2020-12-22T23:00:46.250305120+00:00,1
2020-12-22T23:00:46.250314240+00:00,0
2020-12-22T23:00:46.250323200+00:00,1
2020-12-22T23:00:46.250368640+00:00,0
2020-12-22T23:00:46.250377600+00:00,1
2020-12-22T23:00:46.250386720+00:00,0
2020-12-22T23:00:46.250395840+00:00,1
2020-12-22T23:00:46.250413920+00:00,0
2020-12-22T23:00:46.250459200+00:00,1
2020-12-22T23:00:46.250477280+00:00,0
2020-12-22T23:00:46.250486400+00:00,1
2020-12-22T23:00:46.250495520+00:00,0
2020-12-22T23:00:46.250549760+00:00,1
2020-12-22T23:00:46.250568000+00:00,0
2020-12-22T23:00:46.250576960+00:00,1
2020-12-22T23:00:46.250595200+00:00,0
2020-12-22T23:00:46.250604160+00:00,1
2020-12-22T23:00:46.250640480+00:00,0
2020-12-22T23:00:46.250649600+00:00,1
2020-12-22T23:00:46.250658560+00:00,0
2020-12-22T23:00:46.250685760+00:00,1
2020-12-22T23:00:46.250731040+00:00,0
2020-12-22T23:00:46.250740160+00:00,1
2020-12-22T23:00:46.250749280+00:00,0
2020-12-22T23:00:46.250758240+00:00,1
2020-12-22T23:00:46.250767360+00:00,0
2020-12-22T23:00:46.250821760+00:00,1
2020-12-22T23:00:46.250839840+00:00,0
2020-12-22T23:00:46.250848960+00:00,1
2020-12-22T23:00:46.250912320+00:00,0
2020-12-22T23:00:46.250921440+00:00,1
2020-12-22T23:00:46.250930560+00:00,0
2020-12-22T23:00:46.250948640+00:00,1
2020-12-22T23:00:46.250966720+00:00,0
2020-12-22T23:00:46.251003040+00:00,1
2020-12-22T23:00:46.251021120+00:00,0
2020-12-22T23:00:46.251039360+00:00,1
2020-12-22T23:00:46.251057440+00:00,0
2020-12-22T23:00:46.251093760+00:00,1
2020-12-22T23:00:46.251111840+00:00,0
2020-12-22T23:00:46.251129920+00:00,1
2020-12-22T23:00:46.251148160+00:00,0
2020-12-22T23:00:46.251184320+00:00,1
2020-12-22T23:00:46.251202560+00:00,0
2020-12-22T23:00:46.251220640+00:00,1
2020-12-22T23:00:46.251229760+00:00,0
2020-12-22T23:00:46.251275200+00:00,1
2020-12-22T23:00:46.251293280+00:00,0
2020-12-22T23:00:46.251302400+00:00,1
2020-12-22T23:00:46.251311520+00:00,0
2020-12-22T23:00:46.251320480+00:00,1
2020-12-22T23:00:46.251365920+00:00,0
2020-12-22T23:00:46.251374880+00:00,1
2020-12-22T23:00:46.251384000+00:00,0
2020-12-22T23:00:46.251402080+00:00,1
2020-12-22T23:00:46.251411200+00:00,0
2020-12-22T23:00:46.251456480+00:00,1
2020-12-22T23:00:46.251474560+00:00,0
2020-12-22T23:00:46.251483680+00:00,1
2020-12-22T23:00:46.251492640+00:00,0
2020-12-22T23:00:46.251501760+00:00,1
2020-12-22T23:00:46.251547040+00:00,0
2020-12-22T23:00:46.251556160+00:00,1
2020-12-22T23:00:46.251565120+00:00,0
2020-12-22T23:00:46.251574240+00:00,1
2020-12-22T23:00:46.251592320+00:00,0
2020-12-22T23:00:46.251637760+00:00,1
2020-12-22T23:00:46.251655840+00:00,0
2020-12-22T23:00:46.251664960+00:00,1
2020-12-22T23:00:46.251673920+00:00,0
2020-12-22T23:00:46.251728320+00:00,1
2020-12-22T23:00:46.251746560+00:00,0
2020-12-22T23:00:46.251773760+00:00,1
2020-12-22T23:00:46.251819040+00:00,0
2020-12-22T23:00:46.251828160+00:00,1
2020-12-22T23:00:46.251837120+00:00,0
2020-12-22T23:00:46.251846240+00:00,1
2020-12-22T23:00:46.251855360+00:00,0
2020-12-22T23:00:46.251909760+00:00,1
2020-12-22T23:00:46.251927840+00:00,0
2020-12-22T23:00:46.251936960+00:00,1
2020-12-22T23:00:46.252000320+00:00,0
2020-12-22T23:00:46.252009440+00:00,1
2020-12-22T23:00:46.252018560+00:00,0
2020-12-22T23:00:46.252036640+00:00,1
2020-12-22T23:00:46.252054720+00:00,0
2020-12-22T23:00:46.252091040+00:00,1
2020-12-22T23:00:46.252109120+00:00,0
2020-12-22T23:00:46.252127360+00:00,1
2020-12-22T23:00:46.252145440+00:00,0
2020-12-22T23:00:46.252181600+00:00,1
2020-12-22T23:00:46.252199840+00:00,0
2020-12-22T23:00:46.252217920+00:00,1
2020-12-22T23:00:46.252236000+00:00,0
2020-12-22T23:00:46.252272320+00:00,1
2020-12-22T23:00:46.252290400+00:00,0
2020-12-22T23:00:46.252308480+00:00,1
2020-12-22T23:00:46.252317600+00:00,0
2020-12-22T23:00:46.252362880+00:00,1
2020-12-22T23:00:46.252381120+00:00,0
2020-12-22T23:00:46.252390080+00:00,1
2020-12-22T23:00:46.252399200+00:00,0
2020-12-22T23:00:46.252408320+00:00,1
2020-12-22T23:00:46.252453600+00:00,0
2020-12-22T23:00:46.252462720+00:00,1
2020-12-22T23:00:46.252471680+00:00,0
2020-12-22T23:00:46.252489760+00:00,1
2020-12-22T23:00:46.252498880+00:00,0
2020-12-22T23:00:46.252544160+00:00,1
2020-12-22T23:00:46.252562400+00:00,0
2020-12-22T23:00:46.252571360+00:00,1
2020-12-22T23:00:46.252580480+00:00,0
2020-12-22T23:00:46.252589440+00:00,1
2020-12-22T23:00:46.252634720+00:00,0
2020-12-22T23:00:46.252643840+00:00,1
2020-12-22T23:00:46.252652960+00:00,0
2020-12-22T23:00:46.252671040+00:00,1
2020-12-22T23:00:46.252680160+00:00,0
2020-12-22T23:00:46.252725440+00:00,1
2020-12-22T23:00:46.252743520+00:00,0
2020-12-22T23:00:46.252752640+00:00,1
2020-12-22T23:00:46.252761760+00:00,0
2020-12-22T23:00:46.252770720+00:00,1
2020-12-22T23:00:46.252816160+00:00,0
2020-12-22T23:00:46.252825120+00:00,1
2020-12-22T23:00:46.252834240+00:00,0
2020-12-22T23:00:46.252843360+00:00,1
2020-12-22T23:00:46.252861440+00:00,0
2020-12-22T23:00:46.252906720+00:00,1
2020-12-22T23:00:46.252924960+00:00,0
2020-12-22T23:00:46.252933920+00:00,1
2020-12-22T23:00:46.252943040+00:00,0
2020-12-22T23:00:46.252997440+00:00,1
2020-12-22T23:00:46.253015520+00:00,0
2020-12-22T23:00:46.253042720+00:00,1
2020-12-22T23:00:46.253088000+00:00,0
2020-12-22T23:00:46.253097120+00:00,1
2020-12-22T23:00:46.253106080+00:00,0
2020-12-22T23:00:46.253115200+00:00,1
2020-12-22T23:00:46.253124320+00:00,0
2020-12-22T23:00:46.253178720+00:00,1
2020-12-22T23:00:46.253196800+00:00,0
2020-12-22T23:00:46.253205920+00:00,1
2020-12-22T23:00:46.253269280+00:00,0
2020-12-22T23:00:46.253278400+00:00,1
2020-12-22T23:00:46.253287360+00:00,0
2020-12-22T23:00:46.253305600+00:00,1
2020-12-22T23:00:46.253323680+00:00,0
2020-12-22T23:00:46.253360000+00:00,1
2020-12-22T23:00:46.253378080+00:00,0
2020-12-22T23:00:46.253396160+00:00,1
2020-12-22T23:00:46.253414240+00:00,0
2020-12-22T23:00:46.253450560+00:00,1
2020-12-22T23:00:46.253468640+00:00,0
2020-12-22T23:00:46.253486880+00:00,1
2020-12-22T23:00:46.253504960+00:00,0
2020-12-22T23:00:46.253541280+00:00,1
2020-12-22T23:00:46.253559360+00:00,0
2020-12-22T23:00:46.253577440+00:00,1
2020-12-22T23:00:46.253586560+00:00,0
2020-12-22T23:00:46.253631840+00:00,1
2020-12-22T23:00:46.253649920+00:00,0
2020-12-22T23:00:46.253659040+00:00,1
2020-12-22T23:00:46.253668160+00:00,0
2020-12-22T23:00:46.253677120+00:00,1
2020-12-22T23:00:46.253722560+00:00,0
2020-12-22T23:00:46.253731520+00:00,1
2020-12-22T23:00:46.253740640+00:00,0
2020-12-22T23:00:46.253758720+00:00,1
2020-12-22T23:00:46.253767840+00:00,0
2020-12-22T23:00:46.253813280+00:00,1
2020-12-22T23:00:46.253831360+00:00,0
2020-12-22T23:00:46.253840480+00:00,1
2020-12-22T23:00:46.253849440+00:00,0
2020-12-22T23:00:46.253858560+00:00,1
2020-12-22T23:00:46.253903840+00:00,0
2020-12-22T23:00:46.253912960+00:00,1
2020-12-22T23:00:46.253922080+00:00,0
2020-12-22T23:00:46.253940160+00:00,1
2020-12-22T23:00:46.253949280+00:00,0
2020-12-22T23:00:46.253994560+00:00,1
2020-12-22T23:00:46.254012640+00:00,0
2020-12-22T23:00:46.254021760+00:00,1
2020-12-22T23:00:46.254030720+00:00,0
2020-12-22T23:00:46.254039840+00:00,1
2020-12-22T23:00:46.254085120+00:00,0
2020-12-22T23:00:46.254094240+00:00,1
2020-12-22T23:00:46.254103360+00:00,0
2020-12-22T23:00:46.254112320+00:00,1
2020-12-22T23:00:46.254130560+00:00,0
2020-12-22T23:00:46.254175840+00:00,1
2020-12-22T23:00:46.254193920+00:00,0
2020-12-22T23:00:46.254203040+00:00,1
2020-12-22T23:00:46.254212000+00:00,0
2020-12-22T23:00:46.254266400+00:00,1
2020-12-22T23:00:46.254284640+00:00,0
2020-12-22T23:00:46.254311840+00:00,1
2020-12-22T23:00:46.254357120+00:00,0
2020-12-22T23:00:46.254366240+00:00,1
2020-12-22T23:00:46.254375200+00:00,0
2020-12-22T23:00:46.254384320+00:00,1
2020-12-22T23:00:46.254393440+00:00,0
2020-12-22T23:00:46.254447840+00:00,1
2020-12-22T23:00:46.254465920+00:00,0
2020-12-22T23:00:46.254475040+00:00,1
2020-12-22T23:00:46.254538400+00:00,0
2020-12-22T23:00:46.254547520+00:00,1
2020-12-22T23:00:46.254556640+00:00,0
2020-12-22T23:00:46.254574720+00:00,1
2020-12-22T23:00:46.254592800+00:00,0
2020-12-22T23:00:46.254629120+00:00,1
2020-12-22T23:00:46.254647200+00:00,0
2020-12-22T23:00:46.254665440+00:00,1
2020-12-22T23:00:46.254683520+00:00,0
2020-12-22T23:00:46.254719680+00:00,1
2020-12-22T23:00:46.254737920+00:00,0
2020-12-22T23:00:46.254756000+00:00,1
2020-12-22T23:00:46.254765120+00:00,0
2020-12-22T23:00:46.254810400+00:00,1
2020-12-22T23:00:46.254828480+00:00,0
2020-12-22T23:00:46.254837600+00:00,1
2020-12-22T23:00:46.254846720+00:00,0
2020-12-22T23:00:46.254855680+00:00,1
2020-12-22T23:00:46.254901120+00:00,0
2020-12-22T23:00:46.254910080+00:00,1
2020-12-22T23:00:46.254919200+00:00,0
2020-12-22T23:00:46.254937280+00:00,1
2020-12-22T23:00:46.254946400+00:00,0
2020-12-22T23:00:46.254991680+00:00,1
2020-12-22T23:00:46.255009760+00:00,0
2020-12-22T23:00:46.255018880+00:00,1
